URL,Category,sector,industry
http://www.phillips66.com,"E-commerce News/Informational",Energy,Petroleum Refining
http://www.gm.com,Transportation/E-commerce,Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.mckesson.com,Entertainment/News,Wholesalers,Wholesalers: Health Care
http://www.apple.com,"Electronics Technology",Technology,"Computers, Office Equipment"
http://www.ge.com,"Energy/Industrial Business/Finance",Financials,Diversified Financials
http://www.walmart.com,"Shopping Gifts/E-commerce",Retailing,General Merchandisers
http://www.cvshealth.com,"1. Health 2. Business/Company Information",Food & Drug Stores,Food and Drug Stores
http://www.boeing.com,"1. Business 2. Technology",Aerospace & Defense,Aerospace and Defense
http://www.jpmorganchase.com,E-commerce/Online Shopping,Financials,Commercial Banks
http://www.pg.com,"1. Consumer Goods 2. Business/Corporation",Household Products,Household and Personal Products
http://www.citigroup.com,"1. Informational/Educational 2. Legal/Privacy Policy",Financials,Commercial Banks
http://www.ibm.com,"1. Technology 2. Business/Corporate",Technology,Information Technology Services
http://www.walgreensbootsalliance.com,"Healthcare/Pharmacy Business/Company",Food & Drug Stores,Food and Drug Stores
http://www.bankofamerica.com,"Finance Banking",Financials,Commercial Banks
http://www.target.com,"Retail Shopping",Retailing,General Merchandisers
http://www.jnj.com,"E-commerce Online shopping",Health Care,Pharmaceuticals
http://www.adm.com,"Advertising Gaming","Food, Beverages & Tobacco",Food Production
http://www.conocophillips.com,"Online Shopping Information Website",Energy,"Mining, Crude-Oil Production"
http://www.dow.com,"Online shopping E-commerce",Chemicals,Chemicals
http://www.intel.com,International organization,Technology,Semiconductors and Other Electronic Components
http://www.merck.com,"Healthcare/Pharmaceuticals Medical Research",Health Care,Pharmaceuticals
http://www.wfscorp.com,Energy/ Business/Energy company,Wholesalers,Wholesalers: Diversified
http://www.chsinc.com,"Online Shopping News Website","Food, Beverages & Tobacco",Food Production
http://www.plainsallamerican.com,"Energy/Industry Business/Energy",Energy,Pipelines
http://www.dupont.com,"Chemicals Industrial Goods/Services",Chemicals,Chemicals
http://www.tysonfoods.com,"Food/Consumer Goods, Business/Economics","Food, Beverages & Tobacco",Food Production
http://www.tysonfoods.com,"Food/Consumer Goods, Business/Economics","Food, Beverages & Tobacco",Food Consumer Products
http://www.americanexpress.com,"Financial Services Credit Cards/ Banking",Financials,Commercial Banks
http://www.nationwide.com,"Insurance Financial Services",Financials,Insurance: Property and Casualty (Mutual)
http://www.publix.com,"E-commerce Retail",Food & Drug Stores,Food and Drug Stores
http://www.generaldynamics.com,"Aerospace/Military Business/Finance",Aerospace & Defense,Aerospace and Defense
http://www.allstate.com,"E-commerce Media/Entertainment",Financials,Insurance: Property and Casualty (Stock)
