URL,Category,sector,industry
http://www.phillips66.com,Energy,Energy,Petroleum Refining
http://www.gm.com,Automotive,Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.mckesson.com,Healthcare,Wholesalers,Wholesalers: Health Care
http://www.apple.com,Technology/E-commerce,Technology,"Computers, Office Equipment"
http://www.ge.com,"Aerospace, Industrial",Financials,Diversified Financials
http://www.walmart.com,"E-commerce Retail",Retailing,General Merchandisers
http://www.cvshealth.com,Healthcare/Pharmaceuticals,Food & Drug Stores,Food and Drug Stores
http://www.boeing.com,Aerospace/Defense,Aerospace & Defense,Aerospace and Defense
http://www.jpmorganchase.com,Banking/Finance,Financials,Commercial Banks
http://www.pg.com,"Consumer Goods Multinational Corporation",Household Products,Household and Personal Products
http://www.citigroup.com,Financial Services,Financials,Commercial Banks
http://www.ibm.com,"Technology Corporate",Technology,Information Technology Services
http://www.walgreensbootsalliance.com,Healthcare,Food & Drug Stores,Food and Drug Stores
http://www.bankofamerica.com,Finance/Financial Services,Financials,Commercial Banks
http://www.target.com,"E-commerce Retail",Retailing,General Merchandisers
http://www.jnj.com,Healthcare,Health Care,Pharmaceuticals
http://www.adm.com,"Food, Pet and Animal Nutrition","Food, Beverages & Tobacco",Food Production
http://www.conocophillips.com,Energy/Energy Company,Energy,"Mining, Crude-Oil Production"
http://www.dow.com,Business/Industry,Chemicals,Chemicals
http://www.intel.com,International organization,Technology,Semiconductors and Other Electronic Components
http://www.merck.com,Health/Pharmaceutical,Health Care,Pharmaceuticals
http://www.wfscorp.com,Energy,Wholesalers,Wholesalers: Diversified
http://www.chsinc.com,Company/Enterprise,"Food, Beverages & Tobacco",Food Production
http://www.plainsallamerican.com,Energy/Transportation,Energy,Pipelines
http://www.dupont.com,Chemicals/Manufacturing,Chemicals,Chemicals
http://www.tysonfoods.com,Food/Company,"Food, Beverages & Tobacco",Food Production
http://www.tysonfoods.com,Food/Company,"Food, Beverages & Tobacco",Food Consumer Products
http://www.americanexpress.com,Financial Services,Financials,Commercial Banks
http://www.nationwide.com,Insurance,Financials,Insurance: Property and Casualty (Mutual)
http://www.publix.com,"Food & Grocery, Retail",Food & Drug Stores,Food and Drug Stores
http://www.generaldynamics.com,Defense/Industry,Aerospace & Defense,Aerospace and Defense
http://www.allstate.com,Insurance,Financials,Insurance: Property and Casualty (Stock)
http://www.searsholdings.com,E-commerce/Retail,Retailing,General Merchandisers
http://www.pmi.com,Corporate/E-commerce,"Food, Beverages & Tobacco",Tobacco
http://www.bakerhughes.com,Corporate/Industrial,Energy,"Oil and Gas Equipment, Services"
http://www.oxy.com,Energy/Utilities,Energy,"Mining, Crude-Oil Production"
http://www.gilead.com,Healthcare/Pharmaceutical,Health Care,Pharmaceuticals
http://www.emerson.com,Technology/Industrial Equipment,Industrials,"Electronics, Electrical Equip."
http://www.qualcomm.com,Technology,Technology,Network and Other Communications Equipment
http://www.northropgrumman.com,Business/Industry,Aerospace & Defense,Aerospace and Defense
http://www.internationalpaper.com,International organization,Materials,"Packaging, Containers"
http://www.alcoa.com,Corporate/Industrial,Materials,Metals
http://www.raytheon.com,Defense Aerospace Technology,Aerospace & Defense,Aerospace and Defense
http://www.up.com,"Transportation, Business",Transportation,Railroads
http://www.nov.com,Oil/Gas,Energy,"Oil and Gas Equipment, Services"
http://www.capitalone.com,Financial Services/ Banking,Financials,Commercial Banks
http://www.aflac.com,Insurance,Financials,"Insurance: Life, Health (stock)"
http://www.pbfenergy.com,"Energy Company Oil Refinery",Energy,Petroleum Refining
http://www.manpowergroup.com,"Employment/Staffing Agency Business Services",Business Services,Temporary Help
http://www.whirlpoolcorp.com,"Investor relations Corporate",Industrials,"Electronics, Electrical Equip."
http://www.devonenergy.com,Energy/Company News,Energy,"Mining, Crude-Oil Production"
http://www.paccar.com,"Industrial/Manufacturing Corporate",Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.kohlscorporation.com,"E-commerce Retail",Retailing,General Merchandisers
http://www.southerncompany.com,"Electric Utility Company Business/Industry",Energy,Utilities: Gas and Electric
http://www.danaher.com,Medical/Healthcare Technology,Technology,"Scientific,Photographic and Control Equipment"
http://www.amgen.com,Healthcare/Biotechnology,Health Care,Pharmaceuticals
http://www.southwest.com,Transportation/Air Travel,Transportation,Airlines
http://www.lear.com,Company,Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.penskeautomotive.com,Automotive,Retailing,"Automotive Retailing, Services"
http://www.aes.com,Energy,Energy,Utilities: Gas and Electric
http://www.colgatepalmolive.com,"Company Health/Fitness",Household Products,Household and Personal Products
http://www.officedepot.com,"E-commerce Retailer",Retailing,Specialty Retailers: Other
http://www.gapinc.com,"E-commerce Privacy",Retailing,Specialty Retailers: Apparel
http://www.micron.com,Technology/Electronics,Technology,Semiconductors and Other Electronic Components
http://www.bms.com,Healthcare/Pharmaceutical,Health Care,Pharmaceuticals
http://www.jabil.com,Manufacturing/Technology,Technology,Semiconductors and Other Electronic Components
http://www.nrgenergy.com,"Sustainability/Energy Corporate/Industry News",Energy,Energy
http://www.kindermorgan.com,Energy,Energy,Pipelines
http://www.aramark.com,Business/Corporate,Business Services,Diversified Outsourcing Services
http://www.firstenergycorp.com,"Energy/Utility Company Business/Economic News",Energy,Utilities: Gas and Electric
http://www.viacom.com,"Entertainment Media",Media,Entertainment
http://www.chrobinson.com,"Logistics Freight",Transportation,Transportation and Logistics
http://www.edisoninvestor.com,Investment/Corporate Affairs,Energy,Utilities: Gas and Electric
http://www.lfg.com,"Financial Services Insurance",Financials,"Insurance: Life, Health (stock)"
http://www.mmc.com,"Professional Services Business/Finance",Financials,Diversified Financials
http://www.wellcare.com,Health Insurance,Health Care,Health Care: Insurance and Managed Care
http://www.csc.com,Technology/Software,Technology,Information Technology Services
http://www.ti.com,Electronics/Technology,Technology,Semiconductors and Other Electronic Components
http://www.leucadia.com,Finance,"Food, Beverages & Tobacco",Food Production
http://www.dteenergy.com,Energy/Utility Company,Energy,Utilities: Gas and Electric
http://www.adp.com,Human Resources/Human Capital Management,Business Services,Diversified Outsourcing Services
http://www.praxair.com,Industrial/Manufacturing,Chemicals,Chemicals
http://www.l-3com.com,"Defense Technology Military",Aerospace & Defense,Aerospace and Defense
http://www.toysrusinc.com,"Toys/Children's Product Retail/E-commerce",Retailing,Specialty Retailers: Other
http://www.guardianlife.com,Financial Services,Financials,"Insurance: Life, Health (Mutual)"
http://www.rossstores.com,E-commerce/ Retail,Retailing,Specialty Retailers: Apparel
http://www.libertyinteractive.com,"E-commerce Investment/Finance",Technology,Internet Services and Retailing
http://www.voya.com,"1. Financial Services 2. Insurance",Financials,"Insurance: Life, Health (stock)"
http://www.sempra.com,Energy,Energy,Utilities: Gas and Electric
http://www.sherwin.com,Paint/Coatings,Chemicals,Chemicals
http://www.heinz.com,Food/Condiment,"Food, Beverages & Tobacco",Food Consumer Products
http://www.firstdata.com,"E-commerce Financial Services",Business Services,Financial Data Services
http://www.navistar.com,Automotive,Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.c-a-m.com,Energy/Industry,Energy,"Oil and Gas Equipment, Services"
http://www.stryker.com,Medical Device Manufacturer,Health Care,Medical Products and Equipment
http://www.eastman.com,Chemical/Industrial,Chemicals,Chemicals
http://www.precast.com,Manufacturing/Education,Aerospace & Defense,Aerospace and Defense
http://www.genworth.com,"Insurance Healthcare",Financials,"Insurance: Life, Health (stock)"
http://www.owens-minor.com,Healthcare/Education,Wholesalers,Wholesalers: Health Care
http://www.discoverfinancial.com,Finance/Banking,Financials,Commercial Banks
http://www.nglenergypartners.com,"Energy/Environment, Business",Wholesalers,Wholesalers: Diversified
http://www.deanfoods.com,"Agriculture Food Industry","Food, Beverages & Tobacco",Food Consumer Products
http://www.hormelfoods.com,Food Company/Company News,"Food, Beverages & Tobacco",Food Consumer Products
http://www.autoliv.com,Manufacturing/Economy,Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.crowncork.com,"Manufacturing/Industry Consumer Goods",Materials,"Packaging, Containers"
http://www.appliedmaterials.com,Technology/Engineering,Technology,Semiconductors and Other Electronic Components
http://www.republicservices.com,"Environmental Services Business/Industry",Business Services,Waste Management
http://www.darden.com,Education,"Hotels, Resturants & Leisure",Food Services
http://www.mastercard.com,Finance,Business Services,Financial Data Services
http://www.suntrust.com,Personal Finance/Banking,Financials,Commercial Banks
http://www.tenneco.com,Manufacturing,Motor Vehicles & Parts,Motor Vehicles and Parts
http://www.aecom.com,Business/Consulting,Engineering & Construction,"Engineering, Construction"
http://www.broadcom.com,Technology/Computer Hardware,Technology,Semiconductors and Other Electronic Components
http://www.pricelinegroup.com,"E-commerce Travel",Technology,Internet Services and Retailing
http://www.campbellsoupcompany.com,Food,"Food, Beverages & Tobacco",Food Consumer Products
http://www.reynoldsamerican.com,"Health/Non-Profit, Business","Food, Beverages & Tobacco",Tobacco
http://www.bd.com,Health,Health Care,Medical Products and Equipment
http://www.jarden.com,"Consumer Goods Business/Finance",Household Products,"Home Equipment, Furnishings"
http://www.murphyoilcorp.com,"Energy Company Corporate/Industry",Energy,"Mining, Crude-Oil Production"
